Timeline Trace
Generated on: 2021-07-04 01:31:13
Msec since Epoch: 1625387473576
Profiled application: python3.7
Target platform: Xilinx
Tool version: 2020.1
XRT build version: 2.7.766
Build version branch: 2020.1_PU1
Build version hash: 19bc791a7d9b54ecc23644649c3ea2c2ea31821c
Build version date: N/A 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
24.745761,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
24.766889,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
24.776443,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
24.78075,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
24.787338,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
24.791661,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
24.795637,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
24.799202,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
24.803631,clGetPlatformInfo|General,START,,,,,,,,,,,4,
24.80842,clGetPlatformInfo|General,END,,,,,,,,,,,4,
24.811929,clGetPlatformInfo|General,START,,,,,,,,,,,5,
24.815982,clGetPlatformInfo|General,END,,,,,,,,,,,5,
24.819741,clGetPlatformInfo|General,START,,,,,,,,,,,6,
24.823337,clGetPlatformInfo|General,END,,,,,,,,,,,6,
24.826857,clGetPlatformInfo|General,START,,,,,,,,,,,7,
24.8304,clGetPlatformInfo|General,END,,,,,,,,,,,7,
24.833902,clGetPlatformInfo|General,START,,,,,,,,,,,8,
24.837593,clGetPlatformInfo|General,END,,,,,,,,,,,8,
24.841092,clGetPlatformInfo|General,START,,,,,,,,,,,9,
24.845014,clGetPlatformInfo|General,END,,,,,,,,,,,9,
24.848552,clGetPlatformInfo|General,START,,,,,,,,,,,10,
24.852184,clGetPlatformInfo|General,END,,,,,,,,,,,10,
24.855588,clGetPlatformInfo|General,START,,,,,,,,,,,11,
24.859094,clGetPlatformInfo|General,END,,,,,,,,,,,11,
24.862622,clGetPlatformInfo|General,START,,,,,,,,,,,12,
24.866478,clGetPlatformInfo|General,END,,,,,,,,,,,12,
24.86988,clGetPlatformInfo|General,START,,,,,,,,,,,13,
24.87355,clGetPlatformInfo|General,END,,,,,,,,,,,13,
24.87703,clGetPlatformInfo|General,START,,,,,,,,,,,14,
24.880531,clGetPlatformInfo|General,END,,,,,,,,,,,14,
24.883939,clGetPlatformInfo|General,START,,,,,,,,,,,15,
24.887487,clGetPlatformInfo|General,END,,,,,,,,,,,15,
24.894187,clGetDeviceIDs|General,START,,,,,,,,,,,16,
24.996972,clGetDeviceIDs|General,END,,,,,,,,,,,16,
25.006842,clGetDeviceIDs|General,START,,,,,,,,,,,17,
25.014273,clGetDeviceIDs|General,END,,,,,,,,,,,17,
25.018409,clGetDeviceIDs|General,START,,,,,,,,,,,18,
25.022278,clGetDeviceIDs|General,END,,,,,,,,,,,18,
25.057233,clGetDeviceIDs|General,START,,,,,,,,,,,19,
25.062282,clGetDeviceIDs|General,END,,,,,,,,,,,19,
25.065966,clGetDeviceIDs|General,START,,,,,,,,,,,20,
25.070052,clGetDeviceIDs|General,END,,,,,,,,,,,20,
25.087375,clCreateContext|General,START,,,,,,,,,,,21,
39.720191,clCreateContext|General,END,,,,,,,,,,,21,
39.771881,clGetContextInfo|General,START,,,,,,,,,,,22,
39.787182,clGetContextInfo|General,END,,,,,,,,,,,22,
39.79718,clGetContextInfo|General,START,,,,,,,,,,,23,
39.807449,clGetContextInfo|General,END,,,,,,,,,,,23,
39.816298,clGetContextInfo|General,START,,,,,,,,,,,24,
39.824836,clGetContextInfo|General,END,,,,,,,,,,,24,
39.833504,clGetContextInfo|General,START,,,,,,,,,,,25,
