Target device: xilinx_u200_xdma_201830_2-0
timestamp,12v_aux_curr,12v_aux_vol,12v_pex_curr,12v_pex_vol,vccint_curr,vccint_vol,3v3_pex_curr,3v3_pex_vol,cage_temp0,cage_temp1,cage_temp2,cage_temp3,dimm_temp0,dimm_temp1,dimm_temp2,dimm_temp3,fan_temp,fpga_temp,hbm_temp,se98_temp0,se98_temp1,se98_temp2,vccint_temp,fan_rpm
147.766,1280,12149,1295,12157,15000,850,0,3356,0,0,0,0,37,38,39,36,42,45,0,42,35,41,0,1053,
168.303,1280,12149,1295,12157,15000,850,0,3356,0,0,0,0,37,38,39,36,42,45,0,42,35,41,0,1053,
188.982,1280,12149,1295,12157,15000,850,0,3356,0,0,0,0,37,38,39,36,42,45,0,42,35,41,0,1053,
209.66,1280,12149,1295,12157,15000,850,0,3356,0,0,0,0,37,38,39,36,42,45,0,42,35,41,0,1053,
230.359,1280,12149,1295,12157,15000,850,0,3356,0,0,0,0,37,38,39,36,42,45,0,42,35,41,0,1053,
251.025,1280,12149,1295,12157,15000,850,0,3356,0,0,0,0,37,38,39,36,42,45,0,42,35,41,0,1053,
271.655,1280,12149,1295,12157,15000,850,0,3356,0,0,0,0,37,38,39,36,42,45,0,42,35,41,0,1053,
292.344,1280,12149,1295,12157,15000,850,0,3356,0,0,0,0,37,38,39,36,42,45,0,42,35,41,0,1053,
312.984,1280,12149,1295,12157,15000,850,0,3356,0,0,0,0,37,38,39,36,42,45,0,42,35,41,0,1053,
333.664,1280,12149,1295,12157,15000,850,0,3356,0,0,0,0,37,38,39,36,42,45,0,42,35,41,0,1053,
354.302,1280,12149,1295,12157,15000,850,0,3356,0,0,0,0,37,38,39,36,42,45,0,42,35,41,0,1053,
374.964,1280,12149,1295,12157,15000,850,0,3356,0,0,0,0,37,38,39,36,42,45,0,42,35,41,0,1053,
395.591,1280,12149,1295,12157,15000,850,0,3356,0,0,0,0,37,38,39,36,42,45,0,42,35,41,0,1053,
416.219,1280,12149,1295,12157,15000,850,0,3356,0,0,0,0,37,38,39,36,42,45,0,42,35,41,0,1053,
436.898,1280,12149,1295,12157,15000,850,0,3356,0,0,0,0,37,38,39,36,42,45,0,42,35,41,0,1053,
457.579,1280,12149,1295,12157,15000,850,0,3356,0,0,0,0,37,38,39,36,42,45,0,42,35,41,0,1053,
478.283,1280,12149,1295,12157,15000,850,0,3356,0,0,0,0,37,38,39,36,42,45,0,42,35,41,0,1053,
498.937,1280,12149,1295,12157,15000,850,0,3356,0,0,0,0,37,38,39,36,42,45,0,42,35,41,0,1053,
519.597,1280,12149,1295,12157,15000,850,0,3356,0,0,0,0,37,38,39,36,42,45,0,42,35,41,0,1053,
540.254,1280,12149,1295,12157,15000,850,0,3356,0,0,0,0,37,38,39,36,42,45,0,42,35,41,0,1053,
560.952,1280,12149,1295,12157,15000,850,0,3356,0,0,0,0,37,38,39,36,42,45,0,42,35,41,0,1053,
581.612,1280,12149,1295,12157,15000,850,0,3356,0,0,0,0,37,38,39,36,42,45,0,42,35,41,0,1053,
602.293,1280,12149,1295,12157,15000,850,0,3356,0,0,0,0,37,38,39,36,42,45,0,42,35,41,0,1053,
622.957,1280,12149,1295,12157,15000,850,0,3356,0,0,0,0,37,38,39,36,42,45,0,42,35,41,0,1053,
643.611,1280,12149,1295,12157,15000,850,0,3356,0,0,0,0,37,38,39,36,42,45,0,42,35,41,0,1053,
664.295,1280,12149,1295,12157,15000,850,0,3356,0,0,0,0,37,38,39,36,42,45,0,42,35,41,0,1053,
684.983,1280,12149,1295,12157,15000,850,0,3356,0,0,0,0,37,38,39,36,42,45,0,42,35,41,0,1053,
705.664,1280,12149,1295,12157,15000,850,0,3356,0,0,0,0,37,38,39,36,42,45,0,42,35,41,0,1053,
726.335,1280,12149,1295,12157,15000,850,0,3356,0,0,0,0,37,38,39,36,42,45,0,42,35,41,0,1053,
746.98,1280,12149,1295,12157,15000,850,0,3356,0,0,0,0,37,38,39,36,42,45,0,42,35,41,0,1053,
767.665,1280,12149,1295,12157,15000,850,0,3356,0,0,0,0,37,38,39,36,42,45,0,42,35,41,0,1053,
788.343,1280,12149,1295,12157,15000,850,0,3356,0,0,0,0,37,38,39,36,42,45,0,42,35,41,0,1053,
809.024,1280,12149,1295,12157,15000,850,0,3356,0,0,0,0,37,38,39,36,42,45,0,42,35,41,0,1053,
829.708,1280,12149,1295,12157,15000,850,0,3356,0,0,0,0,37,38,39,36,42,45,0,42,35,41,0,1053,
850.389,1280,12149,1295,12157,15000,850,0,3356,0,0,0,0,37,38,39,36,42,45,0,42,35,41,0,1053,
871.039,1280,12149,1295,12157,15000,850,0,3356,0,0,0,0,37,38,39,36,42,45,0,42,35,41,0,1053,
891.719,1280,12149,1295,12157,15000,850,0,3356,0,0,0,0,37,38,39,36,42,45,0,42,35,41,0,1053,
912.411,1280,12149,1295,12157,15000,850,0,3356,0,0,0,0,37,38,39,36,42,45,0,42,35,41,0,1053,
933.107,1280,12149,1295,12157,15000,850,0,3356,0,0,0,0,37,38,39,36,42,45,0,42,35,41,0,1053,
953.785,1280,12149,1295,12157,15000,850,0,3356,0,0,0,0,37,38,39,36,42,45,0,42,35,41,0,1053,
974.477,1280,12149,1295,12157,15000,850,0,3356,0,0,0,0,37,38,39,36,42,45,0,42,35,41,0,1053,
995.128,1280,12149,1295,12157,15000,850,0,3356,0,0,0,0,37,38,39,36,42,45,0,42,35,41,0,1053,
1015.8,1280,12149,1295,12157,15000,850,0,3356,0,0,0,0,37,38,39,36,42,45,0,42,35,41,0,1053,
1036.49,1286,12162,1303,12191,15024,851,0,3352,0,0,0,0,37,38,39,36,42,44,0,42,35,41,0,1053,
1057.9,1286,12162,1303,12191,15024,851,0,3352,0,0,0,0,37,38,39,36,42,44,0,42,35,41,0,1053,
1078.57,1286,12162,1303,12191,15024,851,0,3352,0,0,0,0,37,38,39,36,42,44,0,42,35,41,0,1053,
1099.22,1286,12162,1303,12191,15024,851,0,3352,0,0,0,0,37,38,39,36,42,44,0,42,35,41,0,1053,
1119.9,1286,12162,1303,12191,15024,851,0,3352,0,0,0,0,37,38,39,36,42,44,0,42,35,41,0,1053,
1140.54,1286,12162,1303,12191,15024,851,0,3352,0,0,0,0,37,38,39,36,42,44,0,42,35,41,0,1053,
1161.21,1286,12162,1303,12191,15024,851,0,3352,0,0,0,0,37,38,39,36,42,44,0,42,35,41,0,1053,
